"","Test Problem","Optimizer","MIGD_total","MIGD_1st_stage","MIGD_2nd_stage","MIGD_3rd_stage"
"64","F7","FPS","0.1234","0.3422","0.0835","0.0594"
"65","F7","PPS","0.0923","0.4108","0.0202","0.0130"
"66","F7","CKPS","0.0227","0.0595","0.0139","0.0140"
"67","F7","SPPS","0.0212","0.0504","0.0142","0.0143"
"68","F7","HPPCM","0.0166","0.0503","0.0088","0.0085"
"69","F7","DSSP","0.0243","0.0974","0.0086","0.0090"
"70","F7","DVC","0.0180","0.0417","0.0104","0.0127"
"71","F8","FPS","0.1440","0.1969","0.1302","0.1325"
"72","F8","PPS","0.1511","0.2317","0.1330","0.1310"
"73","F8","CKPS","0.1560","0.2117","0.1418","0.1437"
"74","F8","SPPS","0.1456","0.2139","0.1292","0.1295"
"75","F8","HPPCM","0.1289","0.1791","0.1163","0.1178"
"76","F8","DSSP","0.1141","0.1436","0.1057","0.1188"
"77","F8","DVC","0.1335","0.1413","0.1196","0.1153"
"78","F9","FPS","0.4089","1.1411","0.2311","0.2389"
"79","F9","PPS","0.5884","2.3269","0.2515","0.0993"
"80","F9","CKPS","0.1476","0.4255","0.0818","0.0815"
"81","F9","SPPS","0.1019","0.2950","0.0503","0.0618"
"82","F9","HPPCM","0.0832","0.2553","0.0456","0.0391"
"83","F9","DSSP","0.0723","0.1266","0.0620","0.0451"
"84","F9","DVC","0.0644","0.1110","0.0401","0.0386"
"85","F10","FPS","0.4312","0.5899","0.4191","0.3679"
"86","F10","PPS","0.5359","1.6713","0.3076","0.2250"
"87","F10","CKPS","0.0860","0.2988","0.0380","0.0329"
"88","F10","SPPS","0.0729","0.2325","0.0350","0.0351"
"89","F10","HPPCM","0.0744","0.1824","0.0492","0.0483"
"90","F10","DSSP","0.1196","0.1643","0.1479","0.0905"
"91","F10","DVC","0.0931","0.1269","0.0878","0.0944"
