"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,11,"CMA-ES-CSA",2e-04,417.466666666667,409,65.1289084250894,417.466666666667,284,284,368,391,409,427,479,479,597,417.466666666667,30,1
2,12,"CMA-ES-CSA",2e-04,940.866666666667,500,1070.28052182701,940.866666666667,308,308,347,422,500,527,3406,3406,3659,940.866666666667,30,1
2,13,"CMA-ES-CSA",2e-04,375.066666666667,368,30.7503107170546,375.066666666667,302,302,327,364,368,400,410,410,412,375.066666666667,30,1
2,14,"CMA-ES-CSA",2e-04,219.133333333333,220,57.7722838531522,219.133333333333,137,137,150,163,220,260,306,306,308,219.133333333333,30,1
2,15,"CMA-ES-CSA",2e-04,1788.6,2068,1201.78481061897,1788.6,223,223,242,962,2068,2426,3967,3967,4019,1788.6,30,1
2,16,"CMA-ES-CSA",2e-04,916.4,529,808.440627551499,916.4,237,237,267,299,529,1236,1355,1355,3421,916.4,30,1
2,17,"CMA-ES-CSA",2e-04,859.8,984,538.013998023254,859.8,278,278,327,372,984,1137,1308,1308,2234,859.8,30,1
2,18,"CMA-ES-CSA",2e-04,1525.6,1370,837.005401045483,1525.6,409,409,417,971,1370,1664,2813,2813,2824,1525.6,30,1
2,19,"CMA-ES-CSA",2e-04,3372.4,2753,2873.18930806865,3372.4,158,158,353,810,2753,4189,8104,8104,10192,3372.4,30,1
2,2,"CMA-ES-CSA",2e-04,409.466666666667,404,45.935286814307,409.466666666667,325,325,338,393,404,446,473,473,489,409.466666666667,30,1
2,20,"CMA-ES-CSA",2e-04,3589.46666666667,3787,2816.36182203986,3589.46666666667,163,163,209,349,3787,4487,7933,7933,8837,3589.46666666667,30,1
2,21,"CMA-ES-CSA",2e-04,1008.06666666667,703,1242.16282272531,1008.06666666667,61,61,67,82,703,876,3361,3361,3611,1008.06666666667,30,1
2,22,"CMA-ES-CSA",2e-04,3826.4,759,7561.19317167009,3826.4,157,157,213,315,759,1491,20757,20757,24331,3826.4,30,1
2,23,"CMA-ES-CSA",2e-04,2600.66666666667,1340,2667.78065237669,2600.66666666667,869,869,960,976,1340,2157,8415,8415,9057,2600.66666666667,30,1
2,24,"CMA-ES-CSA",2e-04,NA,NA,NA,201201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,3,"CMA-ES-CSA",2e-04,2271.26666666667,2359,1826.37147207872,2271.26666666667,263,263,279,1003,2359,2657,4803,4803,7306,2271.26666666667,30,1
2,4,"CMA-ES-CSA",2e-04,25825.5,16922.5,20993.1431407002,37601.2666666667,1160,1160,2708,9573,16833,36300,63933,67374,67374,40287.0714285714,28,0.933333333333333
2,5,"CMA-ES-CSA",2e-04,20.7142857142857,18.5,12.2106727538055,23,8,8,9,10,18,28,34,50,50,24.6428571428571,28,0.933333333333333
2,6,"CMA-ES-CSA",2e-04,323.333333333333,311,64.9558647684417,323.333333333333,210,210,266,293,311,328,429,429,478,323.333333333333,30,1
2,7,"CMA-ES-CSA",2e-04,289.866666666667,156,228.502430883219,289.866666666667,59,59,103,134,156,412,655,655,783,289.866666666667,30,1
2,8,"CMA-ES-CSA",2e-04,528.333333333333,428,244.380897347779,528.333333333333,232,232,259,296,428,719,906,906,957,528.333333333333,30,1
