"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,24,"FULLNEWUOA",2e-04,3955.2,2049,4234.73956696277,8575.73333333333,250,250,250,250,567,7361,7361,9549,9549,25727.2,5,0.333333333333333
2,3,"FULLNEWUOA",2e-04,971.333333333333,780,718.517985326808,971.333333333333,145,145,235,249,780,1351,1977,1977,2597,971.333333333333,15,1
2,4,"FULLNEWUOA",2e-04,4313,4139.5,3100.49855228595,5615,273,273,273,1750,3491,6264,7580,7580,10299,7018.75,12,0.8
2,5,"FULLNEWUOA",2e-04,6,6,0,6,6,6,6,6,6,6,6,6,6,6.42857142857143,14,0.933333333333333
2,6,"FULLNEWUOA",2e-04,281.2,299,129.543263595052,281.2,69,69,118,150,299,307,483,483,528,281.2,15,1
2,7,"FULLNEWUOA",2e-04,637.333333333333,323,693.705749339492,637.333333333333,17,17,121,199,323,718,1547,1547,2650,637.333333333333,15,1
2,8,"FULLNEWUOA",2e-04,141.8,152,46.2063693815969,141.8,77,77,80,89,152,185,194,194,198,141.8,15,1
2,9,"FULLNEWUOA",2e-04,89.1333333333333,80,48.2387909506546,89.1333333333333,38,38,38,43,80,98,185,185,192,89.1333333333333,15,1
2,1,"BFGS",2e-04,7,7,0,7.26666666666667,7,7,7,7,7,7,7,7,7,8.38461538461539,13,0.866666666666667
2,10,"BFGS",2e-04,185.8,103,234.098330988131,185.8,76,76,85,91,103,112,598,598,892,185.8,15,1
2,11,"BFGS",2e-04,181.4,115,115.861863564209,181.4,82,82,100,103,115,214,304,304,496,181.4,15,1
2,12,"BFGS",2e-04,322,196,279.609932380297,322,40,40,55,79,196,478,778,778,817,322,15,1
2,13,"BFGS",2e-04,8543.2,8647,1760.80399249888,11659.7333333333,6268,6268,6268,6268,7336,10075,10075,10390,10390,34979.2,5,0.333333333333333
2,14,"BFGS",2e-04,57.8,49,18.7509999733348,57.8,31,31,34,46,49,76,82,82,88,57.8,15,1
2,15,"BFGS",2e-04,2027.71428571429,1426,1918.28427805385,4043.86666666667,157,157,157,379,1426,2920,3784,5059,5059,8665.42857142857,7,0.466666666666667
2,16,"BFGS",2e-04,NA,NA,NA,13692,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,17,"BFGS",2e-04,NA,NA,NA,4467,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,18,"BFGS",2e-04,NA,NA,NA,5394,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,19,"BFGS",2e-04,3887.09090909091,3619,3366.06985829306,6256.93333333333,577,577,577,1339,3619,4447,5728,5728,12691,8532.18181818182,11,0.733333333333333
