Test Problem;Optimizer;MIGD_total;MIGD_1st_stage;MIGD_2nd_stage;MIGD_3rd_stage;;;;;;;;
F8;SPPS;0.1456(0.00738);0.2139(0.02998);0.1292(0.00460);0.1295(0.00525);;;;;;;;
F8;HPPCM;0.1289(0.00408);0.1791(0.02021);0.1163(0.00311);0.1178(0.00377);;;;;;;;
F8;DSSP;0.1141(0.00263);0.1436(0.01444);0.1057(0.00209);0.1188(0.00162);;;;;;;;
F8;DVC;0.1335(0.00436);0.1413(0.01599);0.1196(0.00352);0.1153(0.00063);;;;;;;;
F9;FPS;0.4089(0.11057);1.1411(0.30435);0.2311(0.09759);0.2389(0.13232);;;;;;;;
F9;PPS;0.5884(0.20324);2.3269(1.01558);0.2515(0.09232);0.0993(0.06927);;;;;;;;
F9;CKPS;0.1476(0.06633);0.4255(0.17298);0.0818(0.06620);0.0815(0.11799);;;;;;;;
F9;SPPS;0.1019(0.02075);0.2950(0.08842);0.0503(0.01248);0.0618(0.02542);;;;;;;;
F9;HPPCM;0.0832(0.03398);0.2553(0.16235);0.0456(0.02797);0.0391(0.00733);;;;;;;;
F9;DSSP;0.0723(0.01388);0.1266(0.03776);0.0620(0.01999);0.0451(0.01777);;;;;;;;
F9;DVC;0.0644(0.01341);0.1110(0.02531);0.0401(0.00680);0.0386(0.00403);;;;;;;;
F10;FPS;0.4312(0.05337);0.5899(0.10409);0.4191(0.08585);0.3679(0.07050);;;;;;;;
F10;PPS;0.5359(0.08500);1.6713(0.43441);0.3076(0.10142);0.2250(0.06185);;;;;;;;
F10;CKPS;0.0860(0.02876);0.2988(0.14212);0.0380(0.00789);0.0329(0.00298);;;;;;;;
F10;SPPS;0.0729(0.01861);0.2325(0.08635);0.0350(0.00558);0.0351(0.00771);;;;;;;;
F10;HPPCM;0.0744(0.01652);0.1824(0.08889);0.0492(0.02139);0.0483(0.00955);;;;;;;;
F10;DSSP;0.1196(0.08332);0.1643(0.05256);0.1479(0.18267);0.0905(0.04511);;;;;;;;
F10;DVC;0.0931(0.00068);0.1269(0.02338);0.0878(0.00785);0.0944(0.01493);;;;;;;;
