"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
2,7,"FULLNEWUOA",4361,30,1.00154374249467e-08,3.626780654e-09,2.57991445054461e-08,6.610960668e-10,6.8305290312e-10,7.098890364e-10,1.497356905e-09,3.626780654e-09,5.25298815575e-09,6.658648743e-09,6.05638644793497e-08,1.046681319e-07
2,8,"FULLNEWUOA",4361,30,7.12375509707067e-09,7.625317267e-09,7.61967774592457e-09,2.370370566e-11,2.30658159243e-10,4.836024914e-10,1.69343294975e-09,7.625317267e-09,9.587932226e-09,9.915652299e-09,2.17779344785499e-08,3.148343808e-08
2,9,"FULLNEWUOA",4361,30,1.9797800615259e-08,2.785959907e-09,6.5878023454706e-08,4.476419235e-12,2.904556595175e-11,5.907452305e-11,2.705107249e-10,2.785959907e-09,5.0628514715e-09,8.103945959e-09,1.47737857871549e-07,2.619837858e-07
2,1,"BFGS",4361,30,2.17721767666965,1.847411113e-12,5.85359919839601,6.75015599e-14,9.3081098405e-14,1.243449788e-13,1.59872115575e-13,1.847411113e-12,7.15516534875e-12,12.16619775,16.7454260575,20.4920674
2,10,"BFGS",4361,30,9.13716808229676e-08,1.47572905e-08,1.84033636009852e-07,4.192202141e-13,1.38673428282755e-10,3.076507937e-10,3.457564901e-09,1.47572905e-08,4.2631212335e-08,5.15582613e-07,5.50473564645e-07,5.790207069e-07
2,11,"BFGS",4361,30,8.3783913496372e-08,4.764127937e-08,1.00014634367158e-07,4.274625098e-11,2.14384954214e-10,4.241655915e-10,1.511484271e-08,4.764127937e-08,1.295746883e-07,1.893411223e-07,2.91503851099999e-07,3.750915383e-07
2,12,"BFGS",4361,30,1.89119655396013e-07,4.248910557e-09,6.81797711916935e-07,2.422950729e-10,2.99374214325e-10,3.691376094e-10,7.98597632375e-10,4.248910557e-09,9.544448787e-09,8.321080713e-08,1.52034840675849e-06,2.696188261e-06
2,13,"BFGS",4361,30,0.04085448049252,0.005509564839,0.0906199976057509,0.0002061658091,0.00039509735852,0.0006260136967,0.003286881266,0.005509564839,0.0223237328575,0.1301957242,0.252523466714999,0.3526098015
2,14,"BFGS",4361,30,7.37335502263333e-09,3.847262064e-09,1.19222611809138e-08,9.923226685e-10,1.109083669225e-09,1.251791559e-09,1.381675219e-09,3.847262064e-09,7.59739826625e-09,1.512825065e-08,3.37093752009999e-08,4.891211347e-08
2,15,"BFGS",4361,30,0.600643073652134,0.9960687353,0.498900066165121,6.261871022e-10,7.75245467825e-10,9.574279147e-10,7.7977055925e-09,0.9960687353,0.9967094307,0.9997167833,1.019401535035,1.035507241
2,16,"BFGS",4361,30,1.139716385906,0.8040271619,0.973589322111102,0.05344865999,0.1004985245645,0.1580039146,0.414552828625,0.8040271619,1.84374161975,2.408493175,2.97752012195,3.443087624
2,17,"BFGS",4361,30,0.386331837165333,0.2432310257,0.298652823412646,0.03221840256,0.0441276244395,0.05868334007,0.1125958487625,0.2432310257,0.69331828755,0.8120090307,0.852274540215,0.885219048
2,18,"BFGS",4361,30,0.967475066646667,0.7685276616,0.680946482296961,0.3631405978,0.366898664845,0.3714918579,0.44255114915,0.7685276616,1.29920141525,2.455161871,2.4640856782,2.471386975
2,19,"BFGS",4361,30,0.0379861557056766,0.01570765957,0.0713655458576713,2.716973313e-09,3.14690140635e-09,3.672369076e-09,5.15594322775e-09,0.01570765957,0.0434885655375,0.1181920209,0.20364625493,0.2735633555
2,2,"BFGS",4361,30,3.19868055012e-09,2.774157792e-09,2.69959490258357e-09,3.049365205e-10,3.6237537415e-10,4.325784175e-10,5.4104276615e-10,2.774157792e-09,5.4208406655e-09,7.192880958e-09,7.6785497075e-09,8.075915048e-09
2,20,"BFGS",4361,30,1.85304304076849e-08,1.968203378e-10,6.289138173741e-08,0,2.2382096175e-14,4.97379915e-14,2.221312023175e-11,1.968203378e-10,4.092015615e-09,1.155351637e-08,1.42427977301499e-07,2.495070817e-07
2,21,"BFGS",4361,30,3.8486791264502e-07,1.414946382e-09,1.45635339945164e-06,0,1.54845736245e-10,3.441016361e-10,4.5280668105e-10,1.414946382e-09,4.45301751025e-09,7.050203976e-09,3.16151931793918e-06,5.742448593e-06
2,22,"BFGS",4361,30,6.96935652872133e-09,2.713534286e-09,1.41227461085073e-08,1.068656275e-11,4.4758508014e-11,8.640199667e-11,1.48715173525e-09,2.713534286e-09,3.9822758425e-09,1.213982159e-08,3.71364741609999e-08,5.758828081e-08
2,23,"BFGS",4361,30,0.222176105987067,0.09770466291,0.239169317986367,0.001272982182,0.0024828081594,0.003961484354,0.0365187345125,0.09770466291,0.369214859625,0.5745267452,0.717699270354999,0.8348404273
2,24,"BFGS",4361,30,1.00715820376267,0.5297869687,0.910303349082863,0.09637571194,0.097952677927,0.0998800808,0.21939927215,0.5297869687,1.953255442,2.410933718,2.4625140303,2.504716104
2,3,"BFGS",4361,30,0.398777110089189,6.176065881e-09,0.49674994022122,2.881228589e-10,5.6221500788e-10,8.972165233e-10,2.07794670375e-09,6.176065881e-09,0.99648308355,0.9972486831,0.998178768575,0.9989397476
2,4,"BFGS",4361,30,0.531425514429278,2.247577413e-08,0.626871459821556,6.636389216e-10,1.66871374493e-09,2.897138529e-09,6.0416418535e-09,2.247577413e-08,0.995782822775,0.9984664178,1.54692794031,1.995669186
2,5,"BFGS",4361,30,0.377133208272,0,1.41987794581961,0,0,0,0,0,0,0.05673049408,3.10567591883598,5.60026763
2,6,"BFGS",4361,30,1.0336479524145e-08,5.681101811e-09,1.79758055943669e-08,1.492139745e-13,1.03244346420975e-10,2.292495083e-10,1.11153930475e-09,5.681101811e-09,9.00192365075e-09,3.062098131e-08,5.25769792144999e-08,7.05409775e-08
2,7,"BFGS",4361,30,1.68223011918733,1.979872827,1.13149791176308,0.05408240311,0.1323272815255,0.2279599107,0.590320106625,1.979872827,2.61226068275,2.811841591,3.3052164103,3.708886717
