"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
2,14,"NELDERDOERR",4400,15,1.40805885474e-11,8.071765478e-12,1.41737786132625e-11,4.85556483892e-12,5.1898041418e-12,5.428546501e-12,5.549338766e-12,8.071765478e-12,1.583444487e-11,2.7429791772e-11,3.8568259695e-11,5.0027892936e-11
2,15,"NELDERDOERR",4400,15,4.75994710292433e-10,1.335820343e-12,1.83073521703912e-09,7.28164195584e-13,7.7591266746e-13,8.49809112e-13,9.8232533195e-13,1.335820343e-12,2.8350655155e-12,1.7041656976e-11,2.14634425778499e-09,5.11473842811399e-09
2,16,"NELDERDOERR",4400,15,4.87906011903867e-13,0,1.76115861583461e-12,0,0,0,0,0,3.552713679e-14,1.9610979504e-13,2.21405116467999e-12,4.99539964967199e-12
2,17,"NELDERDOERR",4400,15,0.000126715835666663,1.713829079e-11,0.000258523282112704,9.44908151824e-12,1.02787112176e-11,1.0945200304e-11,1.29602995e-11,1.713829079e-11,0.00022948675675,0.00022948675786,0.000455477837419999,0.000771865347907999
2,18,"NELDERDOERR",4400,15,0.0382290971556815,0.007547584683,0.0699162558702213,8.05775957219645e-06,2.01443717309152e-05,2.8777669862e-05,0.0002294867578,0.007547584683,0.0319294857,0.117418220532,0.18304951384,0.219101288536
2,19,"NELDERDOERR",4400,15,0.00209435343705966,1.222133506e-12,0.0055269847154969,2.45279352364e-13,2.7213786781e-13,4.0216718846e-13,9.663381204e-13,1.222133506e-12,2.046363079e-12,0.00942459046305728,0.01570765077,0.01570765077
2,2,"NELDERDOERR",4400,15,4.48589313822e-12,3.25428573e-12,5.08202686884856e-12,6.57678356216e-13,6.6364691519e-13,6.8496319728e-13,2.2950530365e-12,3.25428573e-12,4.568789791e-12,7.2986949816e-12,1.1618794814e-11,1.74202341416e-11
2,20,"NELDERDOERR",4400,15,0.0394794448749342,1.527666882e-12,0.152903232511491,3.13775672116e-13,5.2864379539e-13,7.0485839386e-13,8.952838468e-13,1.527666882e-12,2.2737367545e-12,4.7748471842e-12,0.177657501934297,0.426378004633718
2,21,"NELDERDOERR",4400,15,1.90062780324267e-12,1.503241975e-13,5.59184264613522e-12,4.14956957696e-14,5.0448534239e-14,6.8212102632e-14,1.136868377e-13,1.503241975e-13,4.5830006455e-13,2.2478019444e-12,8.25366441839998e-12,1.646640157536e-11
2,22,"NELDERDOERR",4400,15,5.71797424197667e-12,1.136868377e-13,2.02047931090371e-11,3.75166564508e-14,4.0500935942e-14,4.263256415e-14,8.526512828e-14,1.136868377e-13,2.167155344e-13,2.8592239684e-12,2.56108023663999e-11,5.74470959665599e-11
